"id";"base";"bonus";"overtime_pay";"other";"sector";"section_07";"sex";"education";"contract";"age";"duration_total";"duration_entity";"duration_nominal";"duration_overtime"
192064;26651.53;0;0;0;1;3;2;4;1;49;33.03;7.06;1524.15;0
25495;40168.5;1500;0;3414.32;1;2;1;1;1;36;10.07;6.01;1562.4;0
142164;20134.8;0;0;1700.41;1;2;2;4;1;52;28.08;19.05;1816;0
198034;16475;0;0;1305;1;2;2;5;1;55;35.07;11.01;1816;0
144990;34797.6;0;1893.35;3118.73;1;2;2;2;1;50;27;19.01;722.8;63
26083;48775.54;2500;7001.2;4741.02;1;2;2;2;1;47;23.01;23.01;766.8;206
170689;42309.75;2390;0;3457.49;1;1;2;2;1;46;12.06;3.02;1485;0
42015;13668.88;0;0;1161.85;1;2;2;2;1;31;4.07;1.02;464;0
27197;54326.46;2840;0;4335.78;1;1;2;2;1;38;12.07;4.01;1584;0
53472;29403.16;2670;0;2614.15;1;2;2;4;1;54;11;11;1616;0
149259;49598.76;4700;0;4133.23;1;1;2;2;1;38;18.02;18.02;1704;0
55949;42468.99;0;9013.52;4106.41;1;2;2;2;1;44;17.02;16.02;705.6;251
182008;18480;680;0;1570.8;1;2;2;2;2;51;24.02;1.02;916;0
155384;7636.99;1742.79;0;791.27;1;1;2;2;2;26;2.11;2.11;908;0
134877;9616.4;691.04;0;840.93;1;2;1;5;1;53;20;20;968;0
26748;18837.48;956.97;0;0;1;3;2;5;1;54;36.11;14.1;1599.38;0
45811;2306.73;0;0;0;1;1;2;4;2;36;13.1;0.02;256;0
141468;23652.54;0;0;0;1;3;2;3;1;41;15.01;4.07;1451.08;0
156257;29281.91;1700;0;2382.47;1;1;1;4;1;29;4.04;4.04;1816;0
90376;34764.44;0;3086.39;3217.32;1;2;2;2;1;43;20.02;20.02;766;106
24495;30765.34;0;4875.64;3018.36;1;2;1;2;1;38;8.02;8.02;918.32;163.13
181797;29038.78;4065.49;0;2648.32;1;2;1;3;1;43;16.03;4.02;1352;0
175433;29083.24;583.8;707.2;2389.5;1;2;2;1;2;31;5.02;5.02;1548;19.11
195323;51983.57;4153.92;50469.83;0;1;3;2;2;1;50;24.1;9.03;1759.33;1246.68
95894;30882.53;4794.78;0;0;1;3;2;3;1;43;21.07;21.02;1080;0
197248;38055.2;0;1621.8;3382.4;1;2;2;2;1;55;29.07;11.01;590.8;51
53976;43048.8;0;12829.35;4749.64;1;2;1;2;1;48;22.06;19.01;766.8;359.07
139855;36782.91;7920;0;3649.46;1;2;2;4;1;56;36.09;33.06;1696;0
83900;42667.2;1600;4522.2;4048.3;1;2;2;2;1;54;31.03;27.07;766.8;93
12473;38143.18;0;0;3184.69;1;1;1;2;1;27;9;9;1720;0
161553;59780;0;0;5038.8;1;2;2;3;1;54;38.02;4.07;898;0
194627;11713.4;0;0;956.52;1;2;2;4;1;48;25;23;1187;0
119281;42480;6200;0;3653.27;1;1;2;2;1;45;21.02;10.04;1808;0
68647;21841;3786.6;0;2135.5;1;2;1;5;1;49;31.03;15.05;1824;0
122674;50031.48;3810;0;4576.53;1;1;1;2;1;34;12.01;5.07;1816;0
58292;8437.94;1139.6;0;0;1;3;2;2;2;47;23.1;0.02;648;0
94763;17040.19;300;0;1365.28;1;1;2;4;1;47;22;3;1568;0
89025;11539.21;0;0;980.84;1;2;1;5;1;64;38.08;3.03;908;0
110338;37634.17;0;9982.31;3691.15;1;2;2;2;1;45;26.04;26.04;709.2;315
7487;37599.09;1003;4530.48;3581.01;1;2;2;2;1;50;23.08;23.08;766.8;140
19887;32348.23;4026.95;3105.55;0;1;3;1;2;1;28;5.05;5.05;1340.91;96.58
113191;80940;23580;0;0;1;1;2;2;1;55;32;18.04;1760;0
161254;43534.12;3400;995.13;3776.39;1;2;1;2;1;48;22.04;16.04;590.8;37
